feature,coefficient,abs_coefficient
cat__order_status__PENDING,2.8225865,2.8225865
cat__order_status__PROCESSING,2.7533622,2.7533622
cat__type__PAYMENT,0.680003,0.680003
cat__type__DEBIT,0.6659311,0.6659311
cat__order_status__CLOSED,0.600162,0.600162
cat__type__CASH,0.600162,0.600162
cat__order_status__PENDING_PAYMENT,0.58681476,0.58681476
cat__order_status__COMPLETE,0.53721595,0.53721595
cat__order_status__ON_HOLD,0.51509076,0.51509076
cat__order_status__PAYMENT_REVIEW,0.44437698,0.44437698
num__first_class_shipping_flag,0.3836028,0.3836028
cat__shipping_mode__First_Class,0.34816226,0.34816226
num__express_shipping_flag,0.2898236,0.2898236
num__scheduled_short_window_flag,0.2898236,0.2898236
cat__customer_state__MN,0.2446387,0.2446387
num__order_complexity_score,0.1631171,0.1631171
cat__order_country__Egipto,0.16027758,0.16027758
cat__customer_state__HI,0.13776112,0.13776112
cat__customer_state__TN,0.13545698,0.13545698
cat__customer_state__SC,0.12789471,0.12789471
cat__category_name__Music,0.10827718,0.10827718
cat__category_name__DVDs,0.10737254,0.10737254
cat__category_name__Accessories,0.09345947,0.09345947
cat__order_region__Central_Africa,0.0795522,0.0795522
cat__customer_state__MD,0.07952778,0.07952778
cat__order_region__East_of_USA,0.07349667,0.07349667
num__second_class_shipping_flag,0.0643304,0.0643304
cat__category_name__Consumer_Electronics,0.059863985,0.059863985
cat__order_country__República_Dominicana,0.056957662,0.056957662
cat__order_country__Italia,0.054888684,0.054888684
cat__order_region__South_of_USA,0.05392337,0.05392337
cat__order_country__Turquía,0.052685678,0.052685678
cat__category_name__Video_Games,0.049810927,0.049810927
cat__order_country__El_Salvador,0.04750922,0.04750922
cat__category_name__Cardio_Equipment,0.04482386,0.04482386
cat__category_name__Crafts,0.043182146,0.043182146
num__category_order_share,0.04038321,0.04038321
cat__department_name__Health_and_Beauty,0.039999295,0.039999295
cat__order_region__Southeast_Asia,0.03953343,0.03953343
cat__order_region__Southern_Africa,0.033902053,0.033902053
cat__shipping_mode__Second_Class,0.03288876,0.03288876
num__net_sales_per_unit,0.03238035,0.03238035
cat__order_country__Marruecos,0.032290712,0.032290712
num__order_item_product_price,0.03092247,0.03092247
num__gross_sales_per_unit,0.03092247,0.03092247
cat__customer_state__GA,0.029895663,0.029895663
cat__category_name__Girls_Apparel,0.029425256,0.029425256
cat__category_name__Electronics,0.026965631,0.026965631
cat__order_country__España,0.02630098,0.02630098
cat__order_country__Austria,0.025578458,0.025578458
num__department_order_share,0.024814226,0.024814226
num__order_region_order_share,0.02437335,0.02437335
cat__order_country__Australia,0.024169983,0.024169983
cat__order_country__Estados_Unidos,0.023157343,0.023157343
num__order_state_frequency,0.02127068,0.02127068
cat__customer_state__IL,0.021081489,0.021081489
num__regional_congestion_score,0.020803083,0.020803083
cat__customer_state__NM,0.020041965,0.020041965
num__latitude,0.018887205,0.018887205
cat__category_name__Trade_In,0.016881485,0.016881485
num__customer_city_frequency,0.016763352,0.016763352
num__high_value_order_flag,0.014286377,0.014286377
cat__customer_state__UT,0.0141209075,0.0141209075
cat__order_region__South_America,0.01296493,0.01296493
num__market_order_share,0.008811746,0.008811746
cat__department_name__Book_Shop,0.008698994,0.008698994
cat__order_region__East_Africa,0.006900784,0.006900784
cat__customer_state__NV,0.006453106,0.006453106
cat__order_country____OTHER__,0.003930646,0.003930646
cat__customer_state__LA,0.00364488,0.00364488
cat__order_country__Irán,0.0025982028,0.0025982028
cat__customer_state__CA,0.0022911364,0.0022911364
num__discount_amount_per_unit,-0.00024266785,0.00024266785
num__order_item_profit_ratio,-0.0010202941,0.0010202941
cat__category_name__Pet_Supplies,-0.0015300629,0.0015300629
cat__department_name__Pet_Shop,-0.0015300629,0.0015300629
cat__category_name__Garden,-0.0017083781,0.0017083781
cat__order_country__Nigeria,-0.0033508837,0.0033508837
cat__customer_state__MI,-0.0046334765,0.0046334765
cat__category_name__Golf_Gloves,-0.0047388175,0.0047388175
cat__order_region__Eastern_Asia,-0.007283587,0.007283587
num__region_avg_scheduled_days,-0.0072904304,0.0072904304
num__loss_order_flag,-0.0078054313,0.0078054313
num__order_item_discount,-0.009605291,0.009605291
num__profit_per_unit,-0.010887278,0.010887278
num__longitude,-0.01110396,0.01110396
num__benefit_per_order,-0.011336324,0.011336324
cat__order_region__Northern_Europe,-0.015057542,0.015057542
cat__category_name____OTHER__,-0.015972856,0.015972856
num__high_discount_flag,-0.016396467,0.016396467
cat__customer_state__WA,-0.018211717,0.018211717
cat__department_name__Fitness,-0.018503264,0.018503264
num__product_name_frequency,-0.018593378,0.018593378
cat__order_region__West_Asia,-0.018728938,0.018728938
cat__customer_state__NC,-0.019601762,0.019601762
cat__order_country__China,-0.019915571,0.019915571
cat__customer_state__FL,-0.020661328,0.020661328
cat__order_region__West_of_USA,-0.02493037,0.02493037
cat__customer_state__OH,-0.025122229,0.025122229
cat__order_region__South_Asia,-0.025290104,0.025290104
cat__order_region__Western_Europe,-0.025502078,0.025502078
cat__category_name__Indoor_Outdoor_Games,-0.025700906,0.025700906
cat__order_country__Honduras,-0.027072683,0.027072683
cat__category_name__Women_s_Clothing,-0.028387135,0.028387135
cat__customer_state__TX,-0.03022883,0.03022883
cat__market__Africa,-0.031886805,0.031886805
cat__category_name__Shop_By_Sport,-0.03253027,0.03253027
cat__category_name__Women_s_Apparel,-0.032600276,0.032600276
cat__order_country__Filipinas,-0.033194765,0.033194765
num__scheduled_shipping_pressure_index,-0.035467826,0.035467826
num__order_city_frequency,-0.036039293,0.036039293
num__sales,-0.0413825,0.0413825
cat__order_country__India,-0.041653477,0.041653477
num__sales_per_customer,-0.042942468,0.042942468
cat__customer_state__MA,-0.043505788,0.043505788
cat__order_region__Central_Asia,-0.043789715,0.043789715
cat__category_name__Cleats,-0.04404423,0.04404423
cat__order_country__México,-0.049708113,0.049708113
cat__customer_state__NJ,-0.051388454,0.051388454
cat__category_name__Fishing,-0.052124422,0.052124422
cat__order_region__West_Africa,-0.052785635,0.052785635
cat__department_name__Footwear,-0.05342123,0.05342123
cat__order_region__US_Center,-0.054050457,0.054050457
cat__order_country__Francia,-0.05412244,0.05412244
cat__category_name__Water_Sports,-0.05483725,0.05483725
cat__department_name__Golf,-0.05514967,0.05514967
cat__order_region__Oceania,-0.055806875,0.055806875
cat__category_name__Golf_Balls,-0.055987563,0.055987563
cat__order_region__Eastern_Europe,-0.05760855,0.05760855
cat__category_name__Children_s_Clothing,-0.058431145,0.058431145
cat__department_name__Outdoors,-0.05875611,0.05875611
num__order_item_discount_rate,-0.06258242,0.06258242
cat__customer_state__OR,-0.06271742,0.06271742
cat__order_country__Indonesia,-0.06456005,0.06456005
cat__order_region__Caribbean,-0.06508437,0.06508437
cat__category_name__Cameras,-0.065131634,0.065131634
cat__category_name__Toys,-0.06530675,0.06530675
cat__order_country__Nueva_Zelanda,-0.06543969,0.06543969
cat__order_country__Guatemala,-0.0675223,0.0675223
cat__order_country__Nicaragua,-0.069802456,0.069802456
cat__customer_country__Puerto_Rico,-0.069971114,0.069971114
cat__customer_state__PR,-0.069971114,0.069971114
cat__category_name__Hockey,-0.0703381,0.0703381
cat__market__Pacific_Asia,-0.07071452,0.07071452
cat__category_name__Camping_Hiking,-0.07401501,0.07401501
cat__category_name__Men_s_Footwear,-0.07448518,0.07448518
num__order_item_quantity,-0.08072388,0.08072388
cat__market__LATAM,-0.083075345,0.083075345
cat__order_country__Alemania,-0.083112955,0.083112955
cat__category_name__Golf_Shoes,-0.08371265,0.08371265
cat__market__Europe,-0.08574269,0.08574269
cat__department_name__Discs_Shop,-0.0857557,0.0857557
cat__customer_segment__Consumer,-0.08847448,0.08847448
cat__market__USCA,-0.0895112,0.0895112
cat__order_region__North_Africa,-0.09161107,0.09161107
cat__customer_state__CT,-0.09170999,0.09170999
cat__department_name__Apparel,-0.092850715,0.092850715
cat__department_name__Fan_Shop,-0.09432312,0.09432312
cat__customer_segment__Home_Office,-0.09632507,0.09632507
cat__customer_segment__Corporate,-0.10393086,0.10393086
cat__order_country__Argentina,-0.10768396,0.10768396
cat__department_name__Technology,-0.10854081,0.10854081
cat__order_region__Central_America,-0.11137543,0.11137543
cat__customer_country__United_States,-0.11546931,0.11546931
cat__customer_state____OTHER__,-0.12051829,0.12051829
cat__customer_state__NY,-0.12794544,0.12794544
cat__customer_state__AZ,-0.1286793,0.1286793
cat__order_region__Southern_Europe,-0.13132994,0.13132994
cat__customer_state__PA,-0.13158342,0.13158342
cat__order_country__Panamá,-0.13264374,0.13264374
cat__order_country__Brasil,-0.13330269,0.13330269
cat__customer_state__VA,-0.13762662,0.13762662
cat__order_country__Cuba,-0.13965647,0.13965647
cat__customer_state__WI,-0.14454237,0.14454237
cat__order_country__Reino_Unido,-0.14455873,0.14455873
cat__category_name__Golf_Apparel,-0.15326798,0.15326798
cat__order_country__Países_Bajos,-0.16104396,0.16104396
num__shipping_mode_order_share,-0.1709703,0.1709703
cat__customer_state__MO,-0.17121238,0.17121238
cat__order_country__Colombia,-0.17158079,0.17158079
num__shipping_mode_priority_rank,-0.17409907,0.17409907
num__days_for_shipment_scheduled,-0.1779834,0.1779834
num__mode_avg_scheduled_days,-0.1779834,0.1779834
num__standard_class_shipping_flag,-0.1817319,0.1817319
cat__shipping_mode__Standard_Class,-0.21770331,0.21770331
cat__category_name__Baseball_Softball,-0.24491556,0.24491556
cat__customer_state__CO,-0.28059784,0.28059784
cat__order_region__Canada,-0.2969121,0.2969121
cat__shipping_mode__Same_Day,-0.36172056,0.36172056
num__same_day_shipping_flag,-0.3924814,0.3924814
num__scheduled_zero_day_flag,-0.3924814,0.3924814
cat__type__TRANSFER,-1.6043274,1.6043274
cat__order_status__CANCELED,-3.0038023,3.0038023
cat__order_status__SUSPECTED_FRAUD,-3.0413775,3.0413775
