feature,coefficient
__intercept__,-0.12244585156440735
cat__order_status__PENDING,2.8225865364074707
cat__order_status__PROCESSING,2.7533621788024902
cat__type__PAYMENT,0.6800029873847961
cat__type__DEBIT,0.6659311056137085
cat__order_status__CLOSED,0.6001620292663574
cat__type__CASH,0.6001620292663574
cat__order_status__PENDING_PAYMENT,0.5868147611618042
cat__order_status__COMPLETE,0.5372159481048584
cat__order_status__ON_HOLD,0.5150907635688782
cat__order_status__PAYMENT_REVIEW,0.44437697529792786
num__first_class_shipping_flag,0.3836027979850769
cat__shipping_mode__First_Class,0.3481622636318207
num__express_shipping_flag,0.28982359170913696
num__scheduled_short_window_flag,0.28982359170913696
cat__customer_state__MN,0.24463869631290436
num__order_complexity_score,0.16311709582805634
cat__order_country__Egipto,0.1602775752544403
cat__customer_state__HI,0.13776111602783203
cat__customer_state__TN,0.13545697927474976
cat__customer_state__SC,0.12789471447467804
cat__category_name__Music,0.10827717930078506
cat__category_name__DVDs,0.10737253725528717
cat__category_name__Accessories,0.09345947206020355
cat__order_region__Central_Africa,0.07955220341682434
cat__customer_state__MD,0.07952778041362762
cat__order_region__East_of_USA,0.07349666953086853
num__second_class_shipping_flag,0.06433039903640747
cat__category_name__Consumer_Electronics,0.05986398458480835
cat__order_country__República_Dominicana,0.0569576621055603
cat__order_country__Italia,0.054888684302568436
cat__order_region__South_of_USA,0.05392336845397949
cat__order_country__Turquía,0.052685678005218506
cat__category_name__Video_Games,0.049810927361249924
cat__order_country__El_Salvador,0.047509219497442245
cat__category_name__Cardio_Equipment,0.04482385888695717
cat__category_name__Crafts,0.043182145804166794
num__category_order_share,0.04038320854306221
cat__department_name__Health_and_Beauty,0.03999929502606392
cat__order_region__Southeast_Asia,0.039533428847789764
cat__order_region__Southern_Africa,0.03390205278992653
cat__shipping_mode__Second_Class,0.032888758927583694
num__net_sales_per_unit,0.032380349934101105
cat__order_country__Marruecos,0.032290711998939514
num__order_item_product_price,0.03092247061431408
num__gross_sales_per_unit,0.03092247061431408
cat__customer_state__GA,0.029895663261413574
cat__category_name__Girls_Apparel,0.029425255954265594
cat__category_name__Electronics,0.026965631172060966
cat__order_country__España,0.026300979778170586
cat__order_country__Austria,0.025578457862138748
num__department_order_share,0.024814225733280182
num__order_region_order_share,0.02437335066497326
cat__order_country__Australia,0.024169983342289925
cat__order_country__Estados_Unidos,0.02315734326839447
num__order_state_frequency,0.02127067930996418
cat__customer_state__IL,0.021081488579511642
num__regional_congestion_score,0.02080308273434639
cat__customer_state__NM,0.020041964948177338
num__latitude,0.01888720504939556
cat__category_name__Trade_In,0.016881484538316727
num__customer_city_frequency,0.0167633518576622
num__high_value_order_flag,0.014286376535892487
cat__customer_state__UT,0.01412090752273798
cat__order_region__South_America,0.012964930385351181
num__market_order_share,0.008811745792627335
cat__department_name__Book_Shop,0.008698994293808937
cat__order_region__East_Africa,0.006900784093886614
cat__customer_state__NV,0.006453106179833412
cat__order_country____OTHER__,0.0039306459948420525
cat__customer_state__LA,0.0036448799073696136
cat__order_country__Irán,0.0025982027873396873
cat__customer_state__CA,0.002291136421263218
num__discount_amount_per_unit,-0.00024266785476356745
num__order_item_profit_ratio,-0.0010202941484749317
cat__category_name__Pet_Supplies,-0.00153006287291646
cat__department_name__Pet_Shop,-0.00153006287291646
cat__category_name__Garden,-0.0017083780840039253
cat__order_country__Nigeria,-0.003350883722305298
cat__customer_state__MI,-0.0046334764920175076
cat__category_name__Golf_Gloves,-0.00473881745710969
cat__order_region__Eastern_Asia,-0.007283587008714676
num__region_avg_scheduled_days,-0.0072904303669929504
num__loss_order_flag,-0.0078054312616586685
num__order_item_discount,-0.009605291299521923
num__profit_per_unit,-0.010887278243899345
num__longitude,-0.011103959754109383
num__benefit_per_order,-0.01133632380515337
cat__order_region__Northern_Europe,-0.015057542361319065
cat__category_name____OTHER__,-0.015972856432199478
num__high_discount_flag,-0.01639646664261818
cat__customer_state__WA,-0.018211716786026955
cat__department_name__Fitness,-0.018503263592720032
num__product_name_frequency,-0.018593378365039825
cat__order_region__West_Asia,-0.018728937953710556
cat__customer_state__NC,-0.019601762294769287
cat__order_country__China,-0.019915571436285973
cat__customer_state__FL,-0.020661327987909317
cat__order_region__West_of_USA,-0.02493036910891533
cat__customer_state__OH,-0.025122229009866714
cat__order_region__South_Asia,-0.025290103629231453
cat__order_region__Western_Europe,-0.025502078235149384
cat__category_name__Indoor_Outdoor_Games,-0.025700906291604042
cat__order_country__Honduras,-0.027072682976722717
cat__category_name__Women_s_Clothing,-0.02838713489472866
cat__customer_state__TX,-0.030228830873966217
cat__market__Africa,-0.03188680484890938
cat__category_name__Shop_By_Sport,-0.032530270516872406
cat__category_name__Women_s_Apparel,-0.0326002761721611
cat__order_country__Filipinas,-0.03319476544857025
num__scheduled_shipping_pressure_index,-0.03546782582998276
num__order_city_frequency,-0.03603929281234741
num__sales,-0.041382499039173126
cat__order_country__India,-0.041653476655483246
num__sales_per_customer,-0.04294246807694435
cat__customer_state__MA,-0.04350578784942627
cat__order_region__Central_Asia,-0.04378971457481384
cat__category_name__Cleats,-0.04404423013329506
cat__order_country__México,-0.04970811307430267
cat__customer_state__NJ,-0.0513884536921978
cat__category_name__Fishing,-0.052124422043561935
cat__order_region__West_Africa,-0.052785634994506836
cat__department_name__Footwear,-0.053421229124069214
cat__order_region__US_Center,-0.05405045673251152
cat__order_country__Francia,-0.0541224405169487
cat__category_name__Water_Sports,-0.05483724921941757
cat__department_name__Golf,-0.05514967069029808
cat__order_region__Oceania,-0.055806875228881836
cat__category_name__Golf_Balls,-0.055987562984228134
cat__order_region__Eastern_Europe,-0.05760854855179787
cat__category_name__Children_s_Clothing,-0.058431144803762436
cat__department_name__Outdoors,-0.058756109327077866
num__order_item_discount_rate,-0.06258241832256317
cat__customer_state__OR,-0.06271742284297943
cat__order_country__Indonesia,-0.06456004828214645
cat__order_region__Caribbean,-0.06508436799049377
cat__category_name__Cameras,-0.06513163447380066
cat__category_name__Toys,-0.06530675292015076
cat__order_country__Nueva_Zelanda,-0.06543969362974167
cat__order_country__Guatemala,-0.06752230226993561
cat__order_country__Nicaragua,-0.06980245560407639
cat__customer_country__Puerto_Rico,-0.06997111439704895
cat__customer_state__PR,-0.06997111439704895
cat__category_name__Hockey,-0.07033810019493103
cat__market__Pacific_Asia,-0.07071451842784882
cat__category_name__Camping_Hiking,-0.07401500642299652
cat__category_name__Men_s_Footwear,-0.074485182762146
num__order_item_quantity,-0.08072388172149658
cat__market__LATAM,-0.08307534456253052
cat__order_country__Alemania,-0.08311295509338379
cat__category_name__Golf_Shoes,-0.08371265232563019
cat__market__Europe,-0.08574268966913223
cat__department_name__Discs_Shop,-0.08575569838285446
cat__customer_segment__Consumer,-0.08847448229789734
cat__market__USCA,-0.0895112007856369
cat__order_region__North_Africa,-0.09161107242107391
cat__customer_state__CT,-0.09170998632907867
cat__department_name__Apparel,-0.0928507149219513
cat__department_name__Fan_Shop,-0.09432312101125717
cat__customer_segment__Home_Office,-0.09632506966590881
cat__customer_segment__Corporate,-0.10393086075782776
cat__order_country__Argentina,-0.10768395662307739
cat__department_name__Technology,-0.10854081064462662
cat__order_region__Central_America,-0.11137542873620987
cat__customer_country__United_States,-0.1154693067073822
cat__customer_state____OTHER__,-0.1205182895064354
cat__customer_state__NY,-0.1279454380273819
cat__customer_state__AZ,-0.1286793053150177
cat__order_region__Southern_Europe,-0.13132993876934052
cat__customer_state__PA,-0.13158342242240906
cat__order_country__Panamá,-0.13264374434947968
cat__order_country__Brasil,-0.1333026885986328
cat__customer_state__VA,-0.13762661814689636
cat__order_country__Cuba,-0.13965646922588348
cat__customer_state__WI,-0.1445423662662506
cat__order_country__Reino_Unido,-0.14455872774124146
cat__category_name__Golf_Apparel,-0.1532679796218872
cat__order_country__Países_Bajos,-0.1610439568758011
num__shipping_mode_order_share,-0.17097030580043793
cat__customer_state__MO,-0.17121237516403198
cat__order_country__Colombia,-0.17158079147338867
num__shipping_mode_priority_rank,-0.17409907281398773
num__days_for_shipment_scheduled,-0.17798340320587158
num__mode_avg_scheduled_days,-0.17798340320587158
num__standard_class_shipping_flag,-0.18173189461231232
cat__shipping_mode__Standard_Class,-0.21770331263542175
cat__category_name__Baseball_Softball,-0.24491555988788605
cat__customer_state__CO,-0.28059783577919006
cat__order_region__Canada,-0.2969121038913727
cat__shipping_mode__Same_Day,-0.36172056198120117
num__same_day_shipping_flag,-0.39248138666152954
num__scheduled_zero_day_flag,-0.39248138666152954
cat__type__TRANSFER,-1.6043274402618408
cat__order_status__CANCELED,-3.0038022994995117
cat__order_status__SUSPECTED_FRAUD,-3.041377544403076
